kana	english	common	part
どうぶつ	animal	動物	n.
なにど	how many times, how often	何度	n.
もともと	from the first, originally	元々	adv.
すばらしい	wonderful, marvelous	素晴らしい	i-adj.
すわる	sit  彼は椅子に座った。 — He sat on a chair.	座る	v.
さだめる	provide; stipulate,  decide	定める	v.
きかい	opportunity	機会	n.
たのしみ	pleasure, enjoyment	楽しみ	n.
かんがえ	idea, thought  考えがあります。 — I have an idea.	考え	n.
しんじる	believe, trust	信じる	v.
たまたま	accidentally,  by chance	たまたま	adv.
ふるい	old	古い	i-adj.
さ	disc. ATTRACT ATTENTION	さ	p.
めん	side; page; surface	面	n.
さんがつ	March	三月	n.
ただし	but, however, though	ただし	conj.
つね	way	常	n.
より	more, better	より	adv.
つもり	intention	つもり	n.
かんがえかた	way of thinking, attitude	考え方	n.
ニュース	news	ニュース	n.
いしき(する)	consciousness, awareness	意識(する)	n.
もと	beginning; original	元	n.
こうどう(する)	action, act	行動(する)	n.
ひくい	low, short	低い	i-adj.
びっくり(する)	surprise	びっくり(する)	n.
つくりかた	how to make	作り方	n.
げんき	health, vigor	元気	n.
あらわれる	appear, come into sight 歌手が舞台に現れた。 — The singer appeared on stage.	現われる	v.
きこえる	hear; sound	聞こえる	v.
きょく	piece (of music), song, tune	曲	n.
かこ	past	過去	n.
やっと	at last	やっと	adv.
おもえる	it seems that	思える	v.
あきらか	clear, obvious	明らか	na-adj.
つつ		つつ	p.
とち	land, ground	土地	n.
ふりかえる	turn one’s head,  look back	振り返る	v.
はじめ	beginning	初め	n.
ひょうか(する)	evaluation	評価(する)	n.
むすこ	son 昨日、息子が生まれた。 — My son was born yesterday. 87 | 0.86	息子	n.
かぎる	limit, restrict	限る	v.
にる	look like, resemble	似る	v.
かなしい	sad, unhappy  なんと悲しい話だろう。 — What a sad story!	悲しい	i-adj.
あめ	rain	雨	n.
じぶんいたる	themselves; ourselves	自分達	n.
くわしい	detailed, know well,  in detail	詳しい	i-adj.
にじゅういちせいき	twenty-first century	二十一世紀	n.
ひどい	cruel, serious, terrible  ひどい頭痛がする。 — I have a terrible headache.	ひどい	i-adj.
きのう	yesterday	昨日	n.
おりる	go down; come down  階段を下りた。 — I went down the stairs.	下りる	v.
メール	e-mail	メール	n.
まあ	Oh!, well, now  まあ、いいか。 — Well, I guess it’s OK.	まあ	adv.
よろこぶ	be glad, rejoice	喜ぶ	v.
べんり	convenience	便利	n.
むかえる	go to meet, invite, receive	迎える	v.
みみ	ear	耳	n.
ひょうげん(する)	expression	表現(する)	n.
うごき	movement, action, motion  星の動きを観察するのが仕事です。 —	動き	n.
ちゅうい(する)	attention	注意(する)	n.
では	then, well	では	conj.
てあげる	do something for somebody	てあげる	cp.
ふんいき	atmosphere, ambience	雰囲気	n.
たちば	position, standpoint, situation	立場	n.
もとづく	be based	基づく	v.
ま	time, interval; space	間	n.
ことがある	have done; there are sometimes	ことがある	cp.
いたい	painful, hurt  どこが痛いですか。 — Where does it hurt?	痛い	i-adj.
(お)とうさん	father	(お)父さん	n.
あたり	area around	辺り	n.
てやる	do something for somebody/something	てやる	cp.
しょうらい	future	将来	n.
のせる	take on, put on, pick up	乗せる	v.
じてんしゃ	bicycle	自転車	n.
しろい	white	白い	i-adj.
かわ	river, stream	川	n.
もちいる	use, adopt	用いる	v.
となり	next door, next	隣り	n.
ふだん	usually, ordinarily	普段	n.
ほうりつ	law	法律	n.
つま	wife  こちらは私の妻です。 — This is my wife.	妻	n.
ふゆ	winter	冬	n.
ぐたいてき	specific,  concrete	具体的	na-adj.
もと	under	もと	n.
はっせい(する)	occurrence	発生(する)	n.
くりかえす	repeat, do over again	繰り返す	v.
なく	cry	泣く	v.
なな	. seven 七は完全数です。 — Seven is the perfect	七	num
てがみ	letter	手紙	n.
でかける	go out, leave	出かける	v.
どりょく(する)	effort	努力(する)	n.
ぞうか(する)	increase, gain	増加(する)	n.
はんだん(する)	judgment	判断(する)	n.
りょうしん	(both) parents  両親を尊敬している。 — I respect my parents.	両親	n.
ざんねん	disappointing, regrettable	残念	na-adj.
おそらく	probably, likely	おそらく	adv.
かてい	home, household, family	家庭	n.
かるい	light, slight  この荷物は軽い。 — This baggage is light.	軽い	i-adj.
はらう	pay; sweep away  私が払います。 — I will pay the bill.	払う	v.
つながる	be connected, be related	つながる	v.
ふね	ship, boat	船	n.
くがつ	September	九月	n.
きっかけ	opportunity, motive	きっかけ	n.
じゅぎょう	class, lesson at school	授業	n.
なくなる	die, pass away	亡くなる	v.
とめる	stop	止める	v.
ふしぎ	wonder	不思議	n.
ちゃ	tea; brown  これは濃い茶だ。 — This is strong tea.	茶	n.
ちょくせつ	,	直接	n.
バス	bus  バスに乗った。 — I got on the bus.	バス	n.
こうか	effectiveness, effect	効果	n.
げんじつ	reality, actuality	現実	n.
ふれる	touch; experience	触れる	v.
かう	keep, have, breed  猫を二匹飼っている。 — We have two cats.	飼う	v.
しゃべる	talk, chat	しゃべる	v.
こくみん	nation, people (of country), public	国民	n.
さす	shine; pour; put	さす	v.
やりかた	way of doing, how to, approach	やり方	n.
ずいぶん	very, pretty, quite	ずいぶん	adv.
にほんご	Japanese	日本語	n.
じゅうがつ	October	十月	n.
きぶん	feeling, mood 気分は良くなりましたか。 — Are you feeling better now?	気分	n.
かいはつ(する)	development	開発(する)	n.
ころす	kill	殺す	v.
とくちょう	characteristic, feature	特徴	n.
かみ	God, deity, spirit	神	n.
くらす	live	暮らす	v.
とぶ	fly	飛ぶ	v.
おわり	end	終わり	n.
ざっし	magazine	雑誌	n.
おこる	get angry	怒る	v.
せいび(する)	maintenance, service	整備(する)	n.
んと	well	んと	interj.
たてもの	building この建物は修理が必要だ。 — This building needs repair. 76 | 0.97	建物	n.
はっけん(する)	discovery	発見(する)	n.
そうだん(する)	consultation	相談(する)	n.
れんらく(する)	connection, contact	連絡(する)	n.
とまる	stop	止まる	v.
いっしょうけんめい	hard, as hard as one can	一生懸命	na-adj.
ようい(する)	preparation	用意(する)	n.
へん	strange, unusual, funny	変	na-adj.
じゅうにがつ	December	十二月	n.
まなぶ	learn	学ぶ	v.
とつぜん	suddenly	突然	adv.
くび	neck, head; firing, sacking (of an employee)	首	n.
せってい(する)	establishment	設定(する)	n.
ゆっくり	slowly, leisurely; plenty of time	ゆっくり	adv.
めざす	aim, go toward	目指す	v.
したがって	accordingly, consequently	したがって	conj.
いちがつ	January	一月	n.
なす	form, constitute	成す	v.
あつめる	gather, collect	集める	v.
うしなう	lose	失う	v.
ひかり	light	光	n.
ならぶ	line, stand in line	並ぶ	v.
はちがつ	August	八月	n.
とく	[shortened form of “te oku”]	とく	aux.
しちがつ	July	七月	n.
うつくしい	beautiful	美しい	i-adj.
ごがつ	May	五月	n.
やさしい	gentle, tender, kind, friendly	優しい	i-adj.
タバコ	cigarette, tobacco  煙草に火をつけた。 — I lit a cigarette.	タバコ	n.
うしろ	behind, back	後ろ	n.
ろくがつ	June	六月	n.
ことなる	be different	異なる	v.
じゅういちがつ	November	十一月	n.
あらた	another	新た	na-adj.
ひこうき	airplane  飛行機が離陸した。 — The plane took off.	飛行機	n.
(お)ばあさん	old lady; grandmother	(お)婆さん	n.
いたる	lead to, get	至る	v.
ごぜん	morning, a.m.	午前	n.
そだてる	bring up, train,  develop	育てる	v.
しゅるい	kind, sort, variety	種類	n.
しょうひん	goods, item of  merchandise  商品を注文した。 — I ordered goods.	商品	n.
しょうじる	bring about, cause, arise	生じる	v.
イギリス	United Kingdom, Britain, England	イギリス	n.
だいすき	love	大好き	na-adj.
かたる	talk, tell  彼は真実を語った。 — He told the truth.	語る	v.
むね	chest, heart	胸	n.
たのむ	ask, order	頼む	v.
たいけん(する)	experience	体験(する)	n.
ざいりょう	materials, ingredient	材料	n.
ひろがる	spread, stretch 田んぼが広がっている。 — Rice fields stretch out.	広がる	v.
きちんと	precisely, accurately, neatly	きちんと	adv.
そちら	your place; there;  you	そちら	pron.
かつ	win, defeat	勝つ	v.
うんどう(する)	exercise	運動(する)	n.
すてる	throw away, abandon	捨てる	v.
しあわせ	happy	幸せ	na-adj.
とおす	pass, show ... into	通す	v.
よこ	side, beside	横	n.
ともなう	accompany, involve	伴う	v.
いのち	life	命	n.
ながれ	stream, flow, current	流れ	n.
そだつ	grow up  私は京都で育った。 — I grew up in Kyoto.	育つ	v.
ちなみに	by the way, incidentally	ちなみに	conj.
よてい(する)	plan, schedule	予定(する)	n.
けっして	never, by no means	決して	adv.
うま	horse	馬	n.
かんぜん	perfect, complete	完全	na-adj.
がくせい	student	学生	n.
かぜ	wind	風	n.
せいかく	character, personality	性格	n.
し	death	死	n.
いち(する)	position, location	位置(する)	n.
はってん(する)	development	発展(する)	n.
おかしい	funny, amusing	おかしい	i-adj.
きんじょ	neighborhood	近所	n.
いちほん	one (long/cylindrical object)	一本	n.
はる	stretch, put up	張る	v.
ごはん	rice, meal  ご飯を炊いた。 — I cooked rice.	ご飯	n.
きけん	danger, hazard	危険	n.
かしら	disc. I wonder	かしら	p.
すなわち	that is (to say), namely	すなわち	conj.
かいがい	overseas, abroad, foreign	海外	n.
きょういく(する)	education	教育(する)	n.
そうぞう(する)	imagination, image	想像(する)	n.
じつは	actually, in fact	実は	adv.
ゆるす	allow, permit, forgive	許す	v.
ひょう	table, chart	表	n.
ぶんか	culture	文化	n.
はち	eight  表八を見なさい。 — Look at Table 8.	八	n.
たべもの	food	食べ物	n.
かりる	borrow, rent	借りる	v.
だけれど	despite, though	だけれど	conj.
じゅんび(する)	preparation	準備(する)	n.
にがつ	February	二月	n.
や	COPULA (dialectal)	や	aux.
つき	month; moon  月が出た。 — The moon has rise	月	n.
よのなか	world, society	世の中	n.
インターネット	Internet	インターネット	n.
はる	spring 春には桜が咲く。 — In spring, the cherry blossoms bloom.	春	n.
たび	trip, journey  彼は旅に出た。 — He went on a tri	旅	n.
にとし	two years	二年	n.
さむい	cold  寒くなってきた。 — It is getting cold.	寒い	i-adj.
とし	year	年	n.
どうよう	similar, same	同様	na-adj.
いっぱん	general	一般	n.
だいいち	first	第一	n.
さんとし	three years  石の上にも三年。 — Three years on a stone.	三年	n.
もうす	say, be (humble)	申す	v.
おす	push, press	押す	v.
せきにん	responsibility	責任	n.
せんたく(する)	selection, choice	選択(する)	n.
まける	lose, be beaten	負ける	v.
ぎじゅつ	technique, skill	技術	n.
いっぱんてき	general, common, ordinary	一般的	na-adj.
そば	side, beside	そば	n.
へる	decrease, become less	減る	v.
きじ	article	記事	n.
ほんにん	person himself/herself, person in question	本人	n.
やく	roast, bake  彼はケーキを焼いた。 — He baked a cake.	焼く	v.
たまに	occasionally, once in  a while	たまに	adv.
なれる	get used to	慣れる	v.
もしくは	or, otherwise	もしくは	conj.
であう	meet, come across	出会う	v.
すいしん(する)	propulsion	推進(する)	n.
みずから	personally, oneself, own	自ら	n.
さぎょう(する)	operation, work	作業(する)	n.
わたしじしん	myself, my own	私自身	n.
たび	every time	たび	n.
つきあう	associate with, go out with, go along with	付き合う	v.
はんぶん	half	半分	n.
じょうけん	condition	条件	n.
いしゃ	doctor  父は医者です。 — My father is a doctor.	医者	n.
ふる	wave, shake, swing  彼に手を振った。 — I waved at him.	振る	v.
かんしん	interest	関心	n.
ひょうじ(する)	indication	表示(する)	n.
あき	autumn, fall 秋には紅葉する。 — In the fall, the leaves turn yellow and red.	秋	n.
あかるい	bright, light; cheerful	明るい	i-adj.
